,date,vegetable,unit,minimum,maximum,average
99,2025-06-01,ताजा माछा(बचुवा),kg,300,320,310
100,2025-06-01,ताजा माछा(छडी),kg,220,240,230
101,2025-06-01,राजा च्याउ,kg,280,300,290
102,2025-06-01,सिताके च्याउ,kg,800,900,850
103,2025-06-02,गोलभेडा ठूलो(नेपाली),kg,45,55,50
104,2025-06-02,गोलभेडा ठूलो(भारतीय),kg,55,65,60
105,2025-06-02,गोलभेडा सानो(लोकल),kg,37,47,42
106,2025-06-02,गोलभेडा सानो(टनेल),kg,52,62,57
107,2025-06-02,गोलभेडा सानो(भारतीय),kg,40,50,45
108,2025-06-02,आलु रातो,kg,35,38,36
109,2025-06-02,आलु रातो(भारतीय),kg,32,35,33
110,2025-06-02,आलु रातो(मुडे),kg,37,39,38
111,2025-06-02,प्याज सुकेको (भारतीय),kg,38,40,39
112,2025-06-02,गाजर(लोकल),kg,25,35,30
113,2025-06-02,गाजर(तराई),kg,15,25,20
114,2025-06-02,बन्दा(लोकल),kg,10,15,12
115,2025-06-02,काउली स्थानिय,kg,25,35,30
116,2025-06-02,मूला रातो,kg,30,40,35
117,2025-06-02,मूला सेतो(लोकल),kg,15,20,17
118,2025-06-02,सेतो मूला(हाइब्रीड),kg,15,20,17
119,2025-06-02,भन्टा लाम्चो,kg,10,18,14
120,2025-06-02,भन्टा डल्लो,kg,20,30,25
121,2025-06-02,बोडी(तने),kg,45,55,50
122,2025-06-02,मकै बोडी,kg,60,70,65
123,2025-06-02,मटरकोशा,kg,130,150,140
124,2025-06-02,घिउ सिमी(लोकल),kg,25,35,30
125,2025-06-02,घिउ सिमी(हाइब्रीड),kg,20,30,25
126,2025-06-02,घिउ सिमी(राजमा),kg,100,120,110
127,2025-06-02,भटमासकोशा,kg,120,130,125
128,2025-06-02,तितो करेला,kg,40,50,45
129,2025-06-02,लौका,kg,25,35,30
130,2025-06-02,परवर(तराई),kg,50,60,55
131,2025-06-02,चिचिण्डो,kg,20,30,25
132,2025-06-02,घिरौला,kg,15,25,20
133,2025-06-02,झिगूनी,kg,50,60,55
134,2025-06-02,फर्सी पाकेको,kg,35,45,40
135,2025-06-02,फर्सी हरियो(लाम्चो),kg,20,30,25
136,2025-06-02,हरियो फर्सी(डल्लो),kg,15,25,20
137,2025-06-02,भिण्डी,kg,20,30,25
138,2025-06-02,सखरखण्ड,kg,65,75,70
139,2025-06-02,पिंडालू,kg,100,120,110
140,2025-06-02,रायो साग,kg,20,30,25
141,2025-06-02,पालूगो साग,kg,25,35,30
142,2025-06-02,चमसूरको साग,kg,60,70,65
143,2025-06-02,तोरीको साग,kg,20,30,25
144,2025-06-02,मेथीको साग,kg,80,100,90
145,2025-06-02,प्याज हरियो,kg,40,50,45
146,2025-06-02,च्याउ(कन्य),kg,130,160,146
147,2025-06-02,च्याउ(डल्ले),kg,210,260,233
148,2025-06-02,कुरीलो,kg,200,350,275
149,2025-06-02,न्यूरो,kg,20,30,25
150,2025-06-02,ब्रोकाउली,kg,40,50,45
151,2025-06-02,चुकुन्दर,kg,55,65,60
152,2025-06-02,सजिवन,kg,100,110,105
153,2025-06-02,रातो बन्दा,kg,60,70,65
154,2025-06-02,जिरीको साग,kg,70,80,75
155,2025-06-02,ग्याठ कोबी,kg,40,50,45
156,2025-06-02,सेलरी,kg,110,130,120
157,2025-06-02,पार्सले,kg,400,500,450
158,2025-06-02,सौफको साग,kg,80,100,90
159,2025-06-02,पुदीना,kg,100,110,105
160,2025-06-02,गान्टे मूला,kg,30,40,35
161,2025-06-02,इमली,kg,160,170,165
162,2025-06-02,तामा,kg,90,100,95
163,2025-06-02,तोफु,kg,110,140,126
164,2025-06-02,गुन्दुक,kg,300,350,326
165,2025-06-02,स्याउ(झोले),kg,230,250,240
166,2025-06-02,स्याउ(फूजी),kg,240,300,270
167,2025-06-02,केरा,dozen,140,150,145
168,2025-06-02,कागती,kg,180,200,190
169,2025-06-02,अनार,kg,300,350,326
170,2025-06-02,आँप(मालदह),kg,55,65,60
171,2025-06-02,आँप(दसहरी),kg,70,80,75
172,2025-06-02,अंगुर(हरियो),kg,200,250,226
173,2025-06-02,अंगुर(कालो),kg,300,350,326
174,2025-06-02,तरबुजा(हरियो),kg,30,40,35
175,2025-06-02,मौसम,kg,180,200,190
176,2025-06-02,जुनार,kg,200,250,226
177,2025-06-02,भुई कटहर,per piece,160,180,170
178,2025-06-02,काक्रो(लोकल),kg,35,45,40
179,2025-06-02,काक्रो(हाइब्रीड),kg,10,20,15
180,2025-06-02,रुख कटहर,kg,55,65,60
181,2025-06-02,नासपाती(चाइनिज),kg,230,250,240
182,2025-06-02,मेवा(नेपाली),kg,70,80,75
183,2025-06-02,मेवा(भारतीय),kg,90,100,95
184,2025-06-02,लीच्ची(लोकल),kg,110,130,120
185,2025-06-02,लीच्ची(भारतीय),kg,180,210,196
186,2025-06-02,अदुवा,kg,100,120,110
187,2025-06-02,खु्र्सानी सुकेको,kg,380,420,400
188,2025-06-02,खु्र्सानी हरियो,kg,45,55,50
189,2025-06-02,खुर्सानी हरियो(बुलेट),kg,45,55,50
190,2025-06-02,खुर्सानी हरियो(माछे),kg,30,40,35
191,2025-06-02,खुर्सानी हरियो(अकबरे),kg,260,300,280
192,2025-06-02,भेडे खु्र्सानी,kg,70,80,75
193,2025-06-02,लसुन हरियो,kg,70,80,75
194,2025-06-02,हरियो धनिया,kg,30,40,35
195,2025-06-02,लसुन सुकेको चाइनिज,kg,240,280,260
196,2025-06-02,लसुन सुकेको नेपाली,kg,160,190,176
197,2025-06-02,छ्यापी सुकेको,kg,180,200,190
198,2025-06-02,छ्यापी हरियो,kg,100,120,110
199,2025-06-02,ताजा माछा(रहु),kg,300,320,310
200,2025-06-02,ताजा माछा(बचुवा),kg,300,320,310
201,2025-06-02,ताजा माछा(छडी),kg,220,240,230
202,2025-06-02,राजा च्याउ,kg,280,300,290
203,2025-06-02,सिताके च्याउ,kg,800,900,850
