BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-11-11,48000.0,48530.0,48000.0,100,4816411.0,10
2024-11-10,48000.0,48928.9,47600.0,50,2411278.0,5
2024-11-06,48000.0,48950.0,47971.0,170,8169510.0,10
2024-11-05,48000.0,48959.6,48000.0,182,8758596.0,15
2024-10-30,48000.0,48720.0,48000.0,40,1934210.0,4
2024-10-29,48400.0,48400.0,48300.0,130,6282620.0,13
2024-10-28,48220.0,49000.0,48100.0,136,6558600.0,13
2024-10-27,48150.0,48800.0,48150.0,130,6276900.0,13
2024-10-24,48200.0,49845.0,48100.0,230,1.11176E7,22
2024-10-23,48870.0,49800.0,48400.0,230,1.122454E7,23
2024-10-22,49800.0,49800.0,48328.8,70,3444341.0,7
2024-10-21,48344.0,48954.0,47900.0,80,3860273.0,8
2024-10-20,48000.0,49488.9,47873.0,151,7314259.9,14
2024-10-17,48850.0,49499.9,48850.0,110,5399607.0,10
2024-10-16,49250.0,50300.0,49250.0,131,6514051.0,14
2024-10-15,50000.0,51900.0,50000.0,40,2037220.0,4
2024-10-09,52000.0,52300.0,50000.0,201,1.016215E7,15
2024-10-08,50300.0,50300.0,49999.9,201,1.0052994E7,18
2024-10-07,50760.0,51646.0,50020.1,260,1.3109131E7,20
2024-10-06,52700.0,52700.0,49700.0,511,2.57069381E7,49
2024-10-02,50600.0,51082.0,50600.0,50,2548452.0,5
2024-10-01,50080.0,50500.0,50020.0,60,3007702.0,6
2024-09-30,50490.0,50950.0,50490.0,40,2028400.0,4
2024-09-29,50000.0,50052.0,50000.0,30,1501020.0,3
2024-09-26,50750.0,51340.0,50500.0,80,4065201.0,8
2024-09-25,50398.9,50398.9,49999.0,40,2003979.0,4
2024-09-24,49500.0,49500.0,49196.0,70,3449950.0,7
2024-09-23,50200.0,50200.0,50000.0,50,2505680.0,5
2024-09-22,49200.1,50000.0,49200.1,90,4491971.0,9
2024-09-18,49999.0,50000.0,49001.0,50,2489800.0,5
2024-09-16,49999.9,50600.0,49999.9,20,1005999.0,2
2024-09-15,50800.0,51400.0,50800.0,120,6128010.0,11
2024-09-12,51800.0,51811.0,50790.0,80,4121830.0,8
2024-09-11,49800.0,50050.0,49750.1,105,5240331.0,9
2024-09-10,50500.0,51455.0,50426.0,30,1523810.0,3
2024-09-09,51455.0,51487.3,51455.0,70,3602173.0,2
2024-09-08,52538.0,52538.0,50487.0,150,7643679.0,12
2024-09-05,49502.0,49990.0,49500.0,120,5945370.0,8
2024-09-04,49500.0,50388.0,49000.0,350,1.7260999E7,24
2024-09-03,49400.0,50200.0,49400.0,175,8667070.0,11
2024-09-02,49225.0,49501.0,48994.0,50,2467200.0,5
2024-09-01,49100.1,49105.0,49100.1,30,1473052.0,3
2024-08-29,49900.0,49998.5,49000.0,80,3973985.0,8
2024-08-28,49700.0,50960.0,49200.0,100,5034750.0,7
2024-08-27,49000.0,50374.0,49000.0,130,6448516.0,11
2024-08-25,49700.0,50000.0,49500.0,143,7130137.0,14
2024-08-22,50000.0,50000.0,49999.0,81,4049940.0,9
2024-08-21,49920.0,50000.0,49920.0,40,1999200.0,4
2024-08-18,49900.0,50110.0,49900.0,140,7000019.0,14
2024-08-15,50001.0,50999.0,50000.0,115,5834445.0,11
2024-08-14,50997.3,50997.3,49999.0,50,2509953.0,5
2024-08-13,50001.0,50997.0,49999.0,90,4537934.0,9
2024-08-12,49999.0,51000.0,49980.0,500,2.5029499E7,47
2024-08-11,50000.0,52999.0,50000.0,70,3563386.0,7
2024-08-08,52000.0,52000.0,50000.0,60,3050010.0,6
2024-08-07,50000.1,51998.0,49900.0,150,7608925.0,10
2024-08-06,49980.0,51000.0,49030.4,215,1.0802174E7,16
2024-08-05,50031.0,51082.5,49050.0,406,2.0147743E7,34
2024-08-01,52125.0,52125.0,52125.0,0,0.0,0
2024-07-31,52125.0,52125.0,49980.0,270,1.3633261E7,24
2024-07-30,50101.0,54100.0,50101.0,100,5159340.0,10
2024-07-29,52000.0,53732.0,51800.0,155,8181860.0,14
2024-07-28,52680.0,55920.0,52680.0,90,4897639.0,9
2024-07-25,53750.0,54800.0,51646.0,150,7965730.0,14
2024-07-24,53800.0,56181.6,51862.0,214,1.1356572E7,20
2024-07-23,54000.0,54000.0,51843.0,270,1.4180524E7,27
2024-07-22,55000.0,56668.0,52335.0,82,4486700.0,9
2024-07-21,53400.0,56805.8,53400.0,126,6869515.0,12
2024-07-18,52500.0,52999.0,48000.0,311,1.5502895E7,30
2024-07-17,48794.7,48794.7,46000.0,180,8603137.0,17
2024-07-16,46900.0,48000.0,46101.2,90,4250412.0,9
2024-07-15,47328.0,47328.0,43022.0,712,3.1587943E7,42
2024-07-14,44933.0,45950.0,44933.0,60,2726443.0,6
2024-07-11,45850.0,47799.0,45850.0,1113,5.17616E7,13
2024-07-10,46000.0,46100.0,45178.0,50,2291780.0,5
2024-07-09,45200.0,45200.0,45100.0,81,3659000.0,4
2024-07-08,45000.0,45499.9,44900.0,100,4503999.0,5
2024-07-07,45000.0,45000.0,44101.0,140,6279820.0,9
2024-07-04,45000.0,45359.4,44470.0,82,3688394.0,7
2024-07-03,45350.0,45350.0,44444.0,60,2688142.0,6
2024-07-02,46100.0,46100.0,45237.0,20,913370.0,2
2024-07-01,44350.0,44982.0,44350.0,20,893320.0,2
2024-06-30,45900.0,45900.0,44100.5,30,1341155.0,3
2024-06-27,45000.0,46000.0,44800.0,60,2710600.0,6
2024-06-26,46190.0,46190.0,46190.0,10,461900.0,1
2024-06-25,45287.0,45287.0,44999.0,45,2030295.0,4
2024-06-24,44400.0,45300.0,44201.0,70,3113070.0,6
2024-06-23,44999.0,45000.0,44888.0,50,2248869.0,5
2024-06-20,44500.0,45070.0,44000.0,40,1780699.0,4
2024-06-19,44198.0,45100.0,44198.0,20,892980.0,2
2024-06-18,44220.0,45000.0,43800.0,80,3553221.0,8
2024-06-16,44443.0,45350.0,44443.0,30,1342370.0,3
2024-06-13,44500.0,44500.0,44205.0,120,5326960.0,8
