Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
88,2025-06-08,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,792.24,799.6,785.3,789.9,15136,11977231.5,792.24,1105,780.2,2025-06-08T14:59:50.067936,789,122,791.3,34065.4
89,2025-06-08,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,800,800,773,777.2,8919,7000771.3,788.16,987,667.1,2025-06-08T14:57:46.632928,774.1,127,784.92,7635.99
90,2025-06-08,587,RLFL,Reliance Finance Ltd.,472,475.3,462,463.47,13046,6074205.2,467.59,838,392.5,2025-06-08T14:59:22.362335,462,122,465.59,5197.59
91,2025-06-08,591,SHPC,Sanima Mai Hydropower Ltd.,553.7,590.6,553.7,585.26,752551,440089297.3,564.89,680,316,2025-06-08T14:59:57.965935,586.7,2251,584.79,21876.98
92,2025-06-08,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,990,1009.8,990,1004.35,1382,1384918.7,995.62,1285,950.6,2025-06-08T14:58:44.893376,1009,38,1002.11,4094.66
93,2025-06-08,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1482,1575,1407,1546.75,9029,13225216.3,1453.74,2019,1335.8,2025-06-08T14:56:33.073688,1543.5,108,1464.74,3463.69
94,2025-06-08,610,RIDI,Ridi Power Company Limited,258.9,264,255,257.44,264869,68984326.6,255.92,311,157.9,2025-06-08T14:59:52.010096,257,720,260.44,5981.24
95,2025-06-08,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1060,1060,1005.6,1034.37,1434,1475302.6,1046,1428,993,2025-06-08T14:56:05.354739,1026,32,1028.8,4568.42
96,2025-06-08,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11701,11701,11468.5,11505.5,278,3207890.5,11700.66,16270,9893.1,2025-06-08T14:58:51.211774,11501,15,11539.17,20437.17
97,2025-06-08,686,BARUN,Barun Hydropower Co. Ltd.,319,324,309,316.47,114441,35962530.4,319.28,589,230.3,2025-06-08T14:59:57.056219,316,631,314.24,3391.39
98,2025-06-08,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,800,809.5,795,797.86,2629,2099642.7,807.16,1174,770,2025-06-08T14:59:33.798362,796.2,34,798.64,5944.38
99,2025-06-08,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,954,954,921,923.29,2151,1989475,935.31,1447,817,2025-06-08T14:59:26.046497,921,37,924.9,2952.85
100,2025-06-08,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1165,1166.1,1155,1155.12,1118,1296287.9,1172.46,1716,959.2,2025-06-08T14:57:45.050352,1155,45,1159.47,7258.28
101,2025-06-08,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1370,1370,1327.3,1369.3,60,81123.9,1346,1860.4,1304,2025-06-08T14:50:14.704739,1369.3,5,1352.06,2329.07
102,2025-06-08,697,API,Api Power Company Ltd.,299.9,305.7,298,302.16,498690,150741743.16,294.88,390,163.8,2025-06-08T14:59:58.243999,304,1381,302.27,18359.02
103,2025-06-08,700,HEIP,Himalayan Everest Insurance Limited Promoter,367,367,347.9,366.8,16083,5677777.5,374,563,327,2025-06-08T14:53:03.338241,366.8,15,353.02,981.21
104,2025-06-08,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,686,692,684,684.29,3334,2289875.3,699.3,918,646.8,2025-06-08T14:57:59.849528,684,52,686.82,4936.8
105,2025-06-08,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1254.86,1260,1231,1234.66,3539,4374525.6,1254.86,1815,1118.2,2025-06-08T14:59:23.568194,1253.8,55,1236.09,7641.31
106,2025-06-08,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,715.53,725.9,702,711.05,4704,3350780.1,715.53,1214.8,682.1,2025-06-08T14:56:43.902811,716,48,712.32,7866.25
107,2025-06-08,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,728,728,709,710.43,13656,9745354.2,723.3,980,648,2025-06-08T14:59:29.344221,709,107,713.63,10081
108,2025-06-08,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,312,317,309.6,311.08,744969,232864969.5,311.7,360,158.1,2025-06-08T14:59:57.411617,311,1378,312.58,76400.67
109,2025-06-08,2743,NGPL,Ngadi Group Power Ltd.,388,404.1,388,394.55,1547064,617162493.9,395.88,571,250,2025-06-08T14:59:59.376619,394,3379,398.92,14608.44
