1,103320,SRS,32,32,10,25,250.00,103320
2,103319,SRS,32,32,10,25,250.00,103319
3,103318,SRS,32,32,10,25,250.00,103318
4,103317,SRS,32,32,10,25,250.00,103317
5,103316,SRS,32,32,10,25,250.00,103316
6,86588,SRS,6,15,50,34,1700.00,86588
1,282478,SRS,25,25,10,100,1000.00,282478
2,282477,SRS,25,25,10,100,1000.00,282477
3,282476,SRS,25,25,10,100,1000.00,282476
4,282475,SRS,25,25,10,100,1000.00,282475
5,282474,SRS,25,25,10,100,1000.00,282474
6,282473,SRS,25,25,10,100,1000.00,282473
7,282472,SRS,25,25,10,100,1000.00,282472
8,282471,SRS,25,25,10,100,1000.00,282471
9,230606,SRS,29,18,50,100,5000.00,230606
10,230605,SRS,29,18,50,100,5000.00,230605
11,228529,SRS,5,5,10,100,1000.00,228529
12,228528,SRS,5,5,10,100,1000.00,228528
13,228527,SRS,5,5,10,100,1000.00,228527
14,228009,SRS,28,26,10,100,1000.00,228009
15,225568,SRS,7,7,10,100,1000.00,225568
1,201610193993027,SRS,28,28,42500,100,4250000.00,2016-10-19 03:09:00.930270
2,201609253933392,SRS,28,28,23750,100,2375000.00,2016-09-25 03:09:00.333920
3,201609253933370,SRS,28,28,47500,100,4750000.00,2016-09-25 03:09:00.333700
4,201609183910880,SRS,28,28,60000,100,6000000.00,2016-09-18 03:09:00.108800
5,201609183910770,SRS,28,28,60000,100,6000000.00,2016-09-18 03:09:00.107700
6,201609183910651,SRS,28,28,30000,100,3000000.00,2016-09-18 03:09:00.106510
7,201609183910618,SRS,28,28,30000,100,3000000.00,2016-09-18 03:09:00.106180
8,201609183910575,SRS,28,28,107500,100,10750000.00,2016-09-18 03:09:00.105750
9,201609183910395,SRS,28,28,30000,100,3000000.00,2016-09-18 03:09:00.103950
10,201609183910380,SRS,28,28,30000,100,3000000.00,2016-09-18 03:09:00.103800
1,201706214911336,SRS,28,28,53250,120,6390000.00,2017-06-21 04:09:00.113360
2,201703234479958,SRS,17,11,10,118,1180.00,2017-03-23 04:47:00.995800
3,201703234479897,SRS,39,11,10,116,1160.00,2017-03-23 04:47:00.989700
4,201701314302229,SRS,28,28,20999,114,2393886.00,2017-01-31 04:30:00.222900
5,201701314302152,SRS,28,28,10001,112,1120112.00,2017-01-31 04:30:00.215200
6,201701314302050,SRS,28,28,19998,110,2199780.00,2017-01-31 04:30:00.205000
7,201701314301679,SRS,28,28,25001,108,2700108.00,2017-01-31 04:30:00.167900
8,201701314301654,SRS,28,28,25001,106,2650106.00,2017-01-31 04:30:00.165400
9,201701174264217,SRS,28,28,1001,104,104104.00,2017-01-17 04:26:00.421700
10,201701104251205,SRS,17,28,100,104,10400.00,2017-01-10 04:25:00.120500
11,201701104251206,SRS,28,28,900,102,91800.00,2017-01-10 04:25:00.120600
12,201701104251187,SRS,13,28,100,102,10200.00,2017-01-10 04:25:00.118700
13,201701104251188,SRS,39,28,100,102,10200.00,2017-01-10 04:25:00.118800
14,201701104251189,SRS,42,28,1000,102,102000.00,2017-01-10 04:25:00.118900
15,201701014226695,SRS,28,28,1000,100,100000.00,2017-01-01 04:22:00.669500
1,201809176494812,SRS,17,17,10,132,1320.00,2018-09-17 06:49:00.481200
2,201809176494799,SRS,32,17,10,130,1300.00,2018-09-17 06:49:00.479900
3,201809096460711,SRS,17,41,10,126,1260.00,2018-09-09 06:46:00.071100
4,201809096460714,SRS,41,41,10,128,1280.00,2018-09-09 06:46:00.071400
5,201804015918982,SRS,16,16,10,124,1240.00,2018-04-01 05:09:00.189820
1,2019031901000968,SRS,55,58,20,194,3880.00,2019-03-19 01:00:00.096800
2,2019031801000003,SRS,4,4,100,185,18500.00,2019-03-18 01:00:00.000300
3,2019031701001743,SRS,34,4,10,177,1770.00,2019-03-17 01:00:00.174300
4,2019031701001636,SRS,34,4,10,174,1740.00,2019-03-17 01:00:00.163600
5,2019031701001551,SRS,47,4,10,171,1710.00,2019-03-17 01:00:00.155100
6,2019022001002480,SRS,32,45,20,163,3260.00,2019-02-20 01:00:00.248000
7,2019022001002383,SRS,56,4,10,162,1620.00,2019-02-20 01:00:00.238300
8,2019022001002353,SRS,34,4,10,159,1590.00,2019-02-20 01:00:00.235300
9,2019022001002137,SRS,43,4,20,156,3120.00,2019-02-20 01:00:00.213700
10,2019012001003077,SRS,55,34,40,149,5960.00,2019-01-20 01:00:00.307700
11,2019011601004478,SRS,55,4,20,142,2840.00,2019-01-16 01:00:00.447800
12,2019011301004939,SRS,58,4,20,136,2720.00,2019-01-13 01:00:00.493900
