1,126338,NKU,25,6,51,57,2907.00,126338
2,126337,NKU,25,6,51,57,2907.00,126337
3,126335,NKU,25,18,400,57,22800.00,126335
4,126334,NKU,25,22,101,58,5858.00,126334
5,126218,NKU,25,18,40,58,2320.00,126218
6,126217,NKU,25,18,200,58,11600.00,126217
7,125942,NKU,32,32,500,58,29000.00,125942
8,125941,NKU,32,32,300,58,17400.00,125941
9,125153,NKU,29,6,10,57,570.00,125153
10,125152,NKU,29,6,20,57,1140.00,125152
11,125151,NKU,29,6,25,57,1425.00,125151
12,125150,NKU,29,6,25,57,1425.00,125150
13,125149,NKU,29,6,50,57,2850.00,125149
14,125148,NKU,29,6,270,57,15390.00,125148
15,125063,NKU,28,28,20,57,1140.00,125063
16,125062,NKU,28,28,10,57,570.00,125062
17,125061,NKU,28,28,10,57,570.00,125061
18,125060,NKU,28,28,10,57,570.00,125060
19,124945,NKU,32,18,50,57,2850.00,124945
20,124505,NKU,32,29,21,57,1197.00,124505
21,124504,NKU,32,29,15,57,855.00,124504
22,124503,NKU,32,29,15,57,855.00,124503
23,124225,NKU,3,15,20,57,1140.00,124225
24,124168,NKU,32,32,150,55,8250.00,124168
25,123739,NKU,22,22,100,55,5500.00,123739
26,123738,NKU,10,10,500,55,27500.00,123738
27,123597,NKU,32,30,567,55,31185.00,123597
28,123596,NKU,32,30,500,55,27500.00,123596
29,123595,NKU,22,30,200,55,11000.00,123595
30,123594,NKU,22,30,180,55,9900.00,123594
31,123177,NKU,22,6,50,55,2750.00,123177
32,123106,NKU,25,29,20,55,1100.00,123106
33,123105,NKU,25,29,841,55,46255.00,123105
34,123102,NKU,22,6,100,57,5700.00,123102
35,123101,NKU,30,6,100,57,5700.00,123101
36,123100,NKU,25,6,100,55,5500.00,123100
37,122803,NKU,26,26,200,53,10600.00,122803
38,122802,NKU,26,26,200,53,10600.00,122802
39,122495,NKU,13,29,10,55,550.00,122495
40,122104,NKU,25,29,450,55,24750.00,122104
41,113982,NKU,32,25,10,56,560.00,113982
42,111569,NKU,5,5,100,62,6200.00,111569
43,111568,NKU,5,5,100,62,6200.00,111568
44,110720,NKU,28,28,120,62,7440.00,110720
45,110719,NKU,28,28,50,62,3100.00,110719
46,110718,NKU,28,28,20,62,1240.00,110718
47,110717,NKU,28,28,10,62,620.00,110717
48,107218,NKU,10,10,250,68,17000.00,107218
49,107217,NKU,18,18,50,65,3250.00,107217
50,106986,NKU,10,10,250,65,16250.00,106986
51,106985,NKU,10,10,500,65,32500.00,106985
52,106874,NKU,5,5,10,60,600.00,106874
53,106371,NKU,25,25,10,60,600.00,106371
54,106370,NKU,25,25,10,60,600.00,106370
55,106015,NKU,18,18,100,60,6000.00,106015
56,105665,NKU,22,22,15,60,900.00,105665
57,105488,NKU,25,25,25,63,1575.00,105488
58,105487,NKU,25,25,100,63,6300.00,105487
59,101501,NKU,29,22,20,68,1360.00,101501
60,100665,NKU,32,28,10,65,650.00,100665
61,100664,NKU,32,28,10,65,650.00,100664
62,100663,NKU,32,28,10,65,650.00,100663
63,100662,NKU,32,28,30,65,1950.00,100662
64,100455,NKU,28,28,10,65,650.00,100455
65,100454,NKU,28,28,10,65,650.00,100454
66,99996,NKU,22,20,100,68,6800.00,99996
67,99942,NKU,22,20,100,65,6500.00,99942
68,99883,NKU,11,18,10,62,620.00,99883
69,99882,NKU,11,18,100,62,6200.00,99882
70,99276,NKU,19,22,10,68,680.00,99276
71,99275,NKU,19,29,30,68,2040.00,99275
72,99274,NKU,19,29,70,68,4760.00,99274
73,98633,NKU,19,24,10,70,700.00,98633
74,98632,NKU,19,24,20,70,1400.00,98632
75,98631,NKU,19,25,60,70,4200.00,98631
76,98630,NKU,19,25,150,70,10500.00,98630
77,98629,NKU,11,25,40,70,2800.00,98629
78,98627,NKU,11,30,10,70,700.00,98627
79,98626,NKU,11,30,10,70,700.00,98626
80,98625,NKU,11,30,10,70,700.00,98625
81,98624,NKU,11,30,30,70,2100.00,98624
82,98619,NKU,32,8,51,70,3570.00,98619
83,98618,NKU,32,8,50,70,3500.00,98618
84,98223,NKU,32,32,20,71,1420.00,98223
85,98222,NKU,32,32,20,71,1420.00,98222
86,98221,NKU,32,32,20,71,1420.00,98221
87,98220,NKU,32,32,20,71,1420.00,98220
88,98219,NKU,32,32,20,71,1420.00,98219
89,95064,NKU,32,25,25,72,1800.00,95064
90,94618,NKU,24,24,500,72,36000.00,94618
91,94534,NKU,32,14,10,72,720.00,94534
92,94532,NKU,32,6,1500,72,108000.00,94532
93,94152,NKU,20,6,200,72,14400.00,94152
94,94145,NKU,20,25,50,72,3600.00,94145
95,94144,NKU,20,25,500,72,36000.00,94144
96,94143,NKU,20,12,15,72,1080.00,94143
97,94142,NKU,20,12,51,72,3672.00,94142
98,94141,NKU,20,12,100,72,7200.00,94141
99,94140,NKU,20,12,150,72,10800.00,94140
